Chain INPUT (policy ACCEPT)
num  target     prot opt source               destination
6271 DROP       all  --  139.155.79.110       0.0.0.0/0
6272 DROP       all  --  111.93.200.50        0.0.0.0/0
6273 DROP       all  --  106.13.171.12        0.0.0.0/0
6274 DROP       all  --  138.97.241.37        0.0.0.0/0
6275 DROP       all  --  202.70.136.161       0.0.0.0/0
6276 DROP       all  --  222.186.15.62        0.0.0.0/0
6277 DROP       all  --  222.186.30.112       0.0.0.0/0
6278 DROP       all  --  85.209.0.100         0.0.0.0/0
6279 DROP       all  --  222.186.31.166       0.0.0.0/0
6280 DROP       all  --  85.209.0.101         0.0.0.0/0
6281 DROP       all  --  222.186.30.76        0.0.0.0/0
